MODEL	TGCP	RING	DBCP
TWN_Group_11	6.625|9.875|24.5625	4	107.5-111.75-124.75|107.75-108.75-126.0|105.5-108.5-124.75|105.75-110.5-122.75
TWN_Group_12	1.34375|19.71875|40.625	4	101.125-120.5-139.0|100.25-121.125-141.375|101.125-118.75-142.125|102.875-118.5-140.0
TWN_Group_13	0.75|19.20833333333333|40.54166666666666	4	101.16666666666667-120.33333333333333-139.33333333333334|99.83333333333333-121.16666666666667-141.83333333333334|100.5-117.83333333333333-141.83333333333334|101.5-117.5-139.16666666666666
TWN_Group_14	5.25|29.0625|20.8125	4	104.0-129.0-122.5|104.25-127.75-120.25|107.25-128.75-120.0|105.5-130.75-120.5
TWN_Group_15	-11.4375|34.125|35.625	4	87.5-132.5-135.25|89.25-134.0-133.5|87.75-134.25-137.5|89.75-135.75-136.25
TWN_Group_16	-12.1875|32.25|33.875	4	89.0-134.0-133.75|87.25-132.75-135.5|87.5-130.25-134.0|87.5-132.0-132.25
TWN_Group_17	-4.9375|8.1875|42.8125	4	96.25-110.0-143.25|95.0-108.75-141.25|93.5-106.75-142.25|95.5-107.25-144.5
TWN_Group_18	-7.4375|27.0625|45.6875	4	93.0-129.0-146.25|92.75-127.25-143.5|91.75-126.75-147.25|92.75-125.25-145.75
TWN_Group_19	-5.75|26.8125|46.1875	4	93.0-125.5-145.75|95.75-126.25-144.75|93.0-127.25-148.0|95.25-128.25-146.25
TWN_Group_20	4.3125|25.875|23.5625	4	105.5-127.5-124.0|102.75-124.75-124.25|105.5-124.5-123.75|103.5-126.75-122.25
TWN_Group_21	-2.125|15.25|43.9375	4	99.25-113.75-143.5|99.0-116.75-143.0|97.0-116.75-144.75|96.25-113.75-144.5
TWN_Group_22	4.5625|14.6875|23.0	4	105.0-114.75-121.0|105.25-116.25-123.25|104.75-113.0-123.0|103.25-114.75-124.75
TWN_Group_23	-4.3125|21.8125|52.5625	4	94.5-120.25-152.0|97.25-120.75-152.75|96.5-123.5-153.5|94.5-122.75-152.0
TWN_Group_24	-12.75|31.75|28.9375	4	88.0-132.0-130.5|88.75-131.0-128.5|85.5-132.25-129.75|86.75-131.75-127.0
TWN_Group_25	-12.5|31.625|27.3125	4	85.75-131.75-128.75|88.75-130.75-128.5|89.25-132.25-126.0|86.25-131.75-126.0
TWN_Group_26	-11.875|32.375|29.8125	4	89.0-131.0-128.25|89.75-133.5-129.75|87.5-133.0-131.75|86.25-132.0-129.5
TWN_Group_27	1.75|19.28125|38.46875	4	101.875-121.125-137.0|100.875-120.25-139.625|101.125-117.5-139.625|103.125-118.25-137.625
TWN_Group_28	-2.1666666666666714|15.208333333333329|49.29166666666666	4	97.83333333333333-114.83333333333333-147.33333333333334|96.0-116.0-149.33333333333334|99.16666666666667-113.66666666666667-149.66666666666666|98.33333333333333-116.33333333333333-150.83333333333334
TWN_Group_29	1.6458333333333286|19.375|38.1875	4	101.66666666666667-121.16666666666667-136.83333333333334|100.66666666666667-120.33333333333333-139.41666666666666|101.08333333333333-117.5-139.16666666666666|103.16666666666667-118.5-137.33333333333334
TWN_Group_30	3.0999999999999943|21.25|35.07499999999999	4	101.6-121.1-136.6|104.0-119.9-136.1|104.5-121.4-133.4|102.3-122.6-134.2
TWN_Group_31	1.6875|19.3125|38.27083333333334	4	101.75-121.16666666666667-136.91666666666666|100.66666666666667-120.25-139.41666666666666|101.16666666666667-117.41666666666667-139.33333333333334|103.16666666666667-118.41666666666667-137.41666666666666
TWN_Group_32	1.6875|19.39583333333333|38.125	4	101.75-121.16666666666667-136.83333333333334|100.66666666666667-120.41666666666667-139.41666666666666|101.16666666666667-117.58333333333333-139.08333333333334|103.16666666666667-118.41666666666667-137.16666666666666
TWN_Group_33	-5.6875|33.4375|38.125	4	95.0-134.25-136.5|96.0-132.25-138.0|92.75-135.0-138.75|93.5-132.25-139.25
TWN_Group_34	0.1875|16.1875|38.875	4	98.75-115.0-139.5|100.5-115.0-137.25|100.25-117.25-140.75|101.25-117.5-138.0
TWN_Group_35	4.625|26.375|23.625	4	103.25-128.0-123.0|106.25-124.75-123.25|103.0-125.0-124.5|106.0-127.75-123.75
TWN_Group_36	5.083333333333329|26.08333333333333|24.54166666666667	4	105.0-126.83333333333333-126.33333333333333|103.16666666666667-124.83333333333333-124.5|105.83333333333333-125.0-123.33333333333333|106.33333333333333-127.66666666666667-124.0
TWN_Group_37	5.0|25.6875|22.625	4	106.25-124.75-123.25|104.25-124.0-121.5|106.0-127.5-123.5|103.5-126.5-122.25
TWN_Group_38	6.291666666666671|24.75|21.625	4	106.0-125.0-123.16666666666667|104.16666666666667-124.16666666666667-121.33333333333333|106.5-124.83333333333333-119.83333333333333|108.5-125.0-122.16666666666667
TWN_Group_39	-0.625|17.0625|43.375	4	98.25-117.75-144.75|98.5-115.25-143.75|100.75-116.25-141.75|100.0-119.0-143.25
TWN_Group_40	-0.5|15.3125|42.1875	4	100.5-113.75-142.0|98.75-116.75-143.0|100.75-116.75-141.25|98.0-114.0-142.5
TWN_Group_41	-0.96875|17.34375|43.5	4	98.625-115.5-143.375|98.125-117.375-145.5|100.125-117.25-141.625|99.25-119.25-143.5
TWN_Group_42	4.0625|20.6875|18.125	4	102.25-120.25-117.0|103.5-120.0-119.5|106.25-120.25-118.0|104.25-122.25-118.0
TWN_Group_43	-3.0416666666666714|12.416666666666671|46.16666666666666	4	98.5-112.33333333333333-144.83333333333334|98.16666666666667-112.0-147.83333333333334|95.83333333333333-113.0-144.83333333333334|95.33333333333333-112.33333333333333-147.16666666666666
TWN_Group_44	-0.40625|18.75|42.875	4	100.0-120.8125-142.125|98.6875-119.5-144.3125|99.0625-116.6875-143.4375|100.625-118.0-141.625
TWN_Group_45	0.4375|15.75|42.0	4	99.25-116.5-143.25|100.75-117.75-141.25|100.0-114.0-142.75|101.75-114.75-140.75
TWN_Group_46	4.875|24.375|19.375	4	104.25-124.0-121.25|105.5-124.5-117.75|106.5-125.75-119.75|103.25-123.25-118.75
TWN_Group_47	5.0625|26.375|23.625	4	106.75-127.75-123.0|106.25-125.0-123.0|103.5-125.0-124.25|103.75-127.75-124.25
TWN_Group_48	4.6875|26.125|24.125	4	106.25-125.0-123.0|105.25-128.0-124.0|103.25-125.0-123.5|104.0-126.5-126.0
TWN_Group_49	1.5625|13.375|38.25	4	103.5-114.25-138.0|99.75-112.5-139.0|101.25-114.5-139.5|101.75-112.25-136.5
TWN_Group_50	-5.083333333333329|7.166666666666671|40.875	4	93.5-106.83333333333333-142.33333333333334|94.5-105.5-140.33333333333334|96.66666666666667-107.33333333333333-139.33333333333334|95.0-109.0-141.5
TWN_Group_51	5.5|26.625|22.3125	4	106.75-125.0-122.75|106.5-127.75-123.25|103.75-128.0-122.25|105.0-125.75-121.0
TWN_Group_52	4.3125|25.625|19.875	4	106.25-124.75-119.5|102.5-126.0-119.75|104.0-124.0-121.0|104.5-127.75-119.25
TWN_Group_53	0.625|8.8125|36.1875	4	100.5-110.5-136.25|99.25-108.5-134.5|100.25-107.25-137.25|102.5-109.0-136.75
TWN_Group_54	-1.3125|6.5625|35.3125	4	99.5-108.75-134.5|98.0-106.25-134.0|97.5-105.0-136.25|99.75-106.25-136.5
TWN_Group_55	-3.25|13.375|46.70833333333334	4	96.0-113.33333333333333-145.0|98.16666666666667-112.83333333333333-148.0|95.66666666666667-112.0-147.16666666666666|97.16666666666667-115.33333333333333-146.66666666666666
TWN_Group_56	-11.0|28.6875|41.5625	4	88.25-128.25-143.25|90.5-128.0-142.25|89.5-128.25-139.5|87.75-130.25-141.25
TWN_Group_57	-11.6875|32.8125|27.125	4	88.5-131.0-128.25|86.5-132.25-126.25|88.0-134.75-127.25|90.25-133.25-126.75
TWN_Group_58	-0.125|19.16666666666667|42.41666666666666	4	99.33333333333333-117.33333333333333-143.16666666666666|99.16666666666667-120.0-144.0|100.33333333333333-121.16666666666667-141.5|100.66666666666667-118.16666666666667-141.0
TWN_Group_59	1.0|8.5|38.8125	4	100.25-108.25-137.25|102.0-109.0-140.75|102.75-107.75-137.5|99.0-109.0-139.75
TWN_Group_60	13.6875|31.1875|34.4375	4	114.5-130.5-136.0|112.75-132.0-133.0|112.5-132.25-135.5|115.0-130.0-133.25
TWN_Group_61	0.9375|19.09375|40.59375	4	101.125-120.25-139.375|100.0-120.875-142.0|100.75-117.75-141.75|101.875-117.5-139.25
TWN_Group_62	-0.5|30.5625|47.1875	4	101.0-129.75-146.25|99.25-131.75-145.5|98.5-131.75-148.25|99.25-129.0-148.75
TWN_Group_63	-0.5|28.125|47.5	4	97.5-127.0-147.83333333333334|100.16666666666667-126.83333333333333-146.66666666666666|101.0-129.66666666666666-146.5|99.33333333333333-129.0-149.0
TWN_Group_64	-0.5625|28.1875|46.9375	4	100.25-127.0-146.25|97.75-127.0-147.25|98.75-129.25-148.0|101.0-129.5-146.25
TWN_Group_65	-0.9375|28.3125|47.25	4	97.25-128.0-147.25|99.0-129.5-148.75|99.5-126.5-146.75|100.5-129.25-146.25
TWN_Group_66	2.875|12.5|23.5	4	103.25-113.0-125.5|101.0-112.25-123.75|102.75-111.75-121.5|104.5-113.0-123.25
TWN_Group_67	5.75|14.75|22.83333333333333	4	104.83333333333333-114.83333333333333-121.0|107.33333333333333-114.83333333333333-124.0|104.83333333333333-116.5-123.66666666666667|106.0-112.83333333333333-122.66666666666667
TWN_Group_68	-1.4375|17.0|43.625	4	97.5-115.25-143.5|99.75-119.0-143.75|99.25-116.5-141.75|97.75-117.25-145.5
TWN_Group_69	-1.9166666666666714|15.458333333333329|45.33333333333334	4	97.5-117.16666666666667-145.33333333333334|97.83333333333333-115.16666666666667-147.66666666666666|98.5-113.83333333333333-145.16666666666666|98.5-115.66666666666667-143.16666666666666
TWN_Group_70	-1.0625|11.5|49.1875	4	101.0-111.5-149.25|97.0-111.75-149.5|99.0-110.0-150.25|98.75-112.75-147.75
TWN_Group_71	-0.296875|18.921875|42.84375	4	98.625-119.625-144.125|101.0-118.3125-141.8125|99.125-116.8125-143.3125|100.0625-120.9375-142.125
TWN_Group_72	-0.3035714285714306|18.910714285714292|42.76785714285714	4	100.07142857142857-120.92857142857143-142.0|98.85714285714286-119.64285714285714-144.28571428571428|99.21428571428571-116.85714285714286-143.28571428571428|100.64285714285714-118.21428571428571-141.5
TWN_Group_73	2.0416666666666714|13.458333333333329|36.125	4	103.33333333333333-113.5-134.5|103.0-114.66666666666667-136.83333333333334|100.83333333333333-113.5-137.83333333333334|101.0-112.16666666666667-135.33333333333334
TWN_Group_74	-3.625|4.0625|33.3125	4	95.0-105.5-132.25|97.25-105.25-134.25|96.5-102.75-131.75|96.75-102.75-135.0
TWN_Group_75	-2.375|30.5|42.875	4	97.0-130.0-141.0|98.75-132.0-142.25|96.25-129.25-143.5|98.5-130.75-144.75
TWN_Group_76	3.375|30.0625|21.5625	4	103.75-129.0-119.75|103.75-131.5-120.75|102.5-131.25-123.25|103.5-128.5-122.5
TWN_Group_77	-5.0|33.1875|38.75	4	96.75-132.0-138.25|94.5-133.75-137.25|93.0-133.0-139.5|95.75-134.0-140.0
TWN_Group_78	-1.375|14.3125|41.875	4	98.75-114.0-139.5|97.75-115.5-143.5|100.25-114.75-142.25|97.75-113.0-142.25
TWN_Group_79	0.3125|15.4375|39.1875	4	99.25-114.0-139.25|101.25-114.5-140.25|100.0-116.0-137.25|100.75-117.25-140.0
TWN_Group_80	1.0|17.0625|41.75	4	101.0-115.75-141.0|99.5-116.0-143.25|101.0-118.5-142.5|102.5-118.0-140.25
TWN_Group_81	-2.5|37.9375|34.8125	4	98.75-137.25-135.5|98.5-139.75-135.25|97.0-136.25-133.25|95.75-138.5-135.25
TWN_Group_82	8.25|10.625|27.6875	4	108.75-112.25-127.0|109.25-111.25-129.5|106.5-110.25-126.5|108.5-108.75-127.75
TWN_Group_83	-12.0|31.791666666666657|26.70833333333333	4	89.16666666666667-131.16666666666666-128.16666666666666|86.5-131.33333333333334-127.66666666666667|86.83333333333333-132.5-125.16666666666667|89.5-132.16666666666666-125.83333333333333
TWN_Group_84	0.9375|7.0|42.6875	4	99.0-106.5-142.75|101.0-107.0-140.75|103.0-106.75-142.75|100.75-107.75-144.5
TWN_Group_85	-0.4375|14.8125|42.1875	4	98.5-115.75-143.25|100.75-116.75-141.75|98.0-113.0-142.0|101.0-113.75-141.75
TWN_Group_86	-4.9375|7.1875|40.75	4	97.0-107.5-140.0|95.0-109.0-141.5|94.75-105.5-139.75|93.5-106.75-141.75
TWN_Group_87	4.208333333333329|14.916666666666671|24.58333333333333	4	104.66666666666667-114.5-123.0|103.0-113.16666666666667-124.66666666666667|104.83333333333333-115.0-126.33333333333333|104.33333333333333-117.0-124.33333333333333
TWN_Group_88	3.075000000000003|21.174999999999997|35.099999999999994	4	101.5-121.2-136.6|103.9-119.8-136.3|104.5-121.1-133.3|102.4-122.6-134.2
TWN_Group_89	0.125|15.9375|41.375	4	100.0-117.25-139.75|101.5-115.25-140.5|99.0-117.0-142.5|100.0-114.25-142.75
TWN_Group_90	1.1875|7.5625|37.9375	4	100.25-108.25-136.5|102.75-108.25-137.25|102.0-107.25-139.5|99.75-106.5-138.5
TWN_Group_91	5.8125|15.625|24.5625	4	107.0-115.25-123.5|107.0-114.75-126.0|104.5-115.75-125.75|104.75-116.75-123.0
TWN_Group_92	-0.7916666666666714|17.79166666666667|43.33333333333334	4	100.83333333333333-118.16666666666667-142.16666666666666|99.16666666666667-119.66666666666667-143.83333333333334|99.0-115.83333333333333-142.66666666666666|97.83333333333333-117.5-144.66666666666666
TWN_Group_93	-2.7083333333333286|15.25|50.125	4	95.66666666666667-116.33333333333333-149.83333333333334|96.33333333333333-113.66666666666667-150.0|99.0-114.16666666666667-149.83333333333334|98.16666666666667-116.83333333333333-150.83333333333334
TWN_Group_94	0.875|8.4375|37.8125	4	99.25-108.75-138.75|101.0-106.75-138.75|102.75-108.25-137.0|100.5-110.0-136.75
TWN_Group_95	-1.375|25.3125|17.0625	4	97.0-126.5-118.0|100.0-124.0-116.5|97.5-124.75-116.0|100.0-126.0-117.75
TWN_Group_96	2.34375|10.25|28.78125	4	100.25-109.75-129.0|102.5-109.625-126.875|104.0-111.625-128.625|102.625-110.0-130.625
TWN_Group_97	3.1875|38.0|33.1875	4	103.75-138.5-131.0|104.25-139.25-133.75|103.5-136.5-134.75|101.25-137.75-133.25
TWN_Group_98	-16.25|29.75|36.0625	4	82.25-128.0-136.0|83.5-130.25-134.5|84.75-131.75-136.5|84.5-129.0-137.25
TWN_Group_99	-11.333333333333329|32.33333333333334|26.08333333333333	4	89.16666666666667-131.0-127.83333333333333|86.83333333333333-131.83333333333334-126.0|88.33333333333333-133.66666666666666-124.5|90.33333333333333-132.83333333333334-126.0
TWN_Group_100	-10.875|32.16666666666666|25.875	4	87.33333333333333-131.83333333333334-125.66666666666667|89.16666666666667-131.33333333333334-128.0|90.5-133.16666666666666-126.16666666666667|89.5-132.33333333333334-123.66666666666667
TWN_Group_101	1.9583333333333286|19.29166666666667|38.66666666666666	4	102.0-121.0-137.33333333333334|103.16666666666667-118.33333333333333-137.66666666666666|101.33333333333333-120.16666666666667-139.83333333333334|101.33333333333333-117.66666666666667-139.83333333333334
TWN_Group_102	5.791666666666671|15.208333333333329|24.95833333333333	4	107.33333333333333-115.0-126.5|104.66666666666667-115.66666666666667-126.0|107.0-114.83333333333333-123.83333333333333|104.16666666666667-115.33333333333333-123.5
TWN_Group_103	3.375|13.8125|22.5625	4	104.75-114.75-120.75|103.75-115.0-123.5|101.75-113.25-124.25|103.25-112.25-121.75
TWN_Group_104	-0.6666666666666714|24.66666666666667|16.83333333333333	4	100.33333333333333-122.83333333333333-116.33333333333333|97.83333333333333-124.0-116.16666666666667|98.16666666666667-126.33333333333333-117.33333333333333|101.0-125.5-117.5
TWN_Group_105	-5.5625|27.125|45.1875	4	93.75-126.25-143.75|92.75-128.5-145.0|95.25-127.5-147.0|96.0-126.25-145.0
TWN_Group_106	-0.71875|17.71875|43.625	4	100.75-118.125-142.375|99.125-119.625-144.0|99.375-115.875-143.0|97.875-117.25-145.125
TWN_Group_107	-1.0625|14.6875|42.6875	4	100.5-113.75-141.75|97.75-115.25-144.25|99.75-116.75-142.25|97.75-113.0-142.5
TWN_Group_108	-6.5|5.208333333333329|33.83333333333334	4	95.66666666666667-104.83333333333333-132.5|93.5-103.83333333333333-135.16666666666666|91.16666666666667-105.66666666666667-134.33333333333334|93.66666666666667-106.5-133.33333333333334
TWN_Group_109	4.5625|25.6875|25.5	4	103.5-124.75-124.5|105.0-126.75-126.75|105.0-127.25-124.0|104.75-124.0-126.75
TWN_Group_110	8.0|7.0625|28.6875	4	108.75-108.25-127.0|107.25-105.5-127.75|108.25-106.0-130.25|107.75-108.5-129.75
TWN_Group_111	2.6875|4.625|39.6875	4	104.25-105.5-138.5|103.25-102.75-140.25|100.5-104.0-139.25|102.75-106.25-140.75
TWN_Group_112	5.791666666666671|21.16666666666667|33.08333333333334	4	104.0-121.83333333333333-133.5|106.5-123.0-133.33333333333334|107.66666666666667-120.5-132.83333333333334|105.0-119.33333333333333-132.66666666666666
TWN_Group_113	5.708333333333329|21.5|33.16666666666666	4	103.83333333333333-122.0-133.66666666666666|106.16666666666667-123.33333333333333-133.5|107.66666666666667-121.0-132.83333333333334|105.16666666666667-119.66666666666667-132.66666666666666
TWN_Group_114	0.625|24.25|17.6875	4	102.0-123.25-118.5|101.25-125.5-118.75|99.0-125.25-116.75|100.25-123.0-116.75
TWN_Group_115	-2.1875|24.3125|52.75	4	97.75-125.0-150.75|98.0-126.0-153.25|98.0-122.5-152.25|97.5-123.75-154.75
TWN_Group_116	13.875|11.375|39.75	4	114.25-112.25-141.0|112.75-113.0-139.0|114.75-110.5-138.25|113.75-109.75-140.75
