MODEL	TGCP	RING	DBCP
TWN_Group_1	2.3173076923076934|19.769230769230774|38.076923076923066	4	100.9-120.4-139.2|101.6-121.4-136.9|102.7-118.1-139.4|103.5-118.9-137.0&101.125-120.5-139.25|101.625-121.375-136.75|103.0-118.125-139.25|103.625-119.125-136.875&101.375-120.625-139.25|101.5-121.375-136.75|103.625-119.125-136.875|103.375-118.25-139.375
TWN_Group_2	2.59375|19.88541666666667|38.22916666666666	4	103.6-119.2-137.0|101.6-121.1-136.9|103.9-118.9-139.9|101.4-120.5-139.5&101.375-120.625-139.25|101.5-121.375-136.75|103.625-119.125-136.875|103.375-118.25-139.375&101.66666666666667-120.66666666666667-139.5|103.66666666666667-119.16666666666667-137.0|101.66666666666667-121.16666666666667-137.0|103.83333333333333-118.5-139.66666666666666
TWN_Group_3	0.23584905660376876|19.339622641509436|41.79481132075472	4	100.22222222222223-121.16666666666667-141.66666666666666|99.11111111111111-119.33333333333333-143.77777777777777|100.5-117.5-141.77777777777777|101.16666666666667-119.38888888888889-139.66666666666666&99.05-119.5-143.95|100.6-117.85-142.0|100.15-121.15-141.65|101.3-119.4-139.7&99.21428571428571-119.28571428571429-143.92857142857142|100.28571428571429-117.28571428571429-141.92857142857142|100.28571428571429-121.07142857142857-141.85714285714286|101.07142857142857-119.21428571428571-139.92857142857142&100.16666666666667-121.05555555555556-141.66666666666666|99.11111111111111-119.33333333333333-143.88888888888889|100.22222222222223-117.44444444444444-141.88888888888889|101.16666666666667-119.38888888888889-139.77777777777777&100.14285714285714-121.0-141.71428571428572|99.14285714285714-119.42857142857143-144.07142857142858|100.14285714285714-117.5-142.07142857142858|101.14285714285714-119.35714285714286-139.78571428571428&99.25-119.16666666666667-143.66666666666666|100.41666666666667-117.16666666666667-141.75|100.33333333333333-121.08333333333333-141.75|101.25-119.16666666666667-140.0&99.3-119.5-143.6|100.7-117.8-141.6|100.1-121.3-141.5|101.2-119.6-139.4
TWN_Group_4	0.25499999999999545|19.194999999999993|41.83000000000001	4	100.16666666666667-121.05555555555556-141.66666666666666|99.11111111111111-119.33333333333333-143.88888888888889|100.22222222222223-117.44444444444444-141.88888888888889|101.16666666666667-119.38888888888889-139.77777777777777&99.25-119.16666666666667-143.66666666666666|100.41666666666667-117.16666666666667-141.75|100.33333333333333-121.08333333333333-141.75|101.25-119.16666666666667-140.0&100.33333333333333-121.0-141.66666666666666|100.66666666666667-116.66666666666667-141.66666666666666|99.33333333333333-119.0-143.33333333333334|101.66666666666667-119.0-140.5&99.21428571428571-119.28571428571429-143.92857142857142|100.28571428571429-117.28571428571429-141.92857142857142|100.28571428571429-121.07142857142857-141.85714285714286|101.07142857142857-119.21428571428571-139.92857142857142
TWN_Group_5	0.2091346153846132|19.317307692307693|41.831730769230774	4	100.22222222222223-121.16666666666667-141.66666666666666|99.11111111111111-119.33333333333333-143.77777777777777|100.5-117.5-141.77777777777777|101.16666666666667-119.38888888888889-139.66666666666666&99.05-119.5-143.95|100.6-117.85-142.0|100.15-121.15-141.65|101.3-119.4-139.7&100.0-121.0-141.75|99.125-119.375-144.125|101.125-119.375-139.875|99.75-117.5-142.0&99.21428571428571-119.28571428571429-143.92857142857142|100.28571428571429-117.28571428571429-141.92857142857142|100.28571428571429-121.07142857142857-141.85714285714286|101.07142857142857-119.21428571428571-139.92857142857142&100.16666666666667-121.05555555555556-141.66666666666666|99.11111111111111-119.33333333333333-143.88888888888889|100.22222222222223-117.44444444444444-141.88888888888889|101.16666666666667-119.38888888888889-139.77777777777777&100.14285714285714-121.0-141.71428571428572|99.14285714285714-119.42857142857143-144.07142857142858|100.14285714285714-117.5-142.07142857142858|101.14285714285714-119.35714285714286-139.78571428571428&99.25-119.16666666666667-143.66666666666666|100.41666666666667-117.16666666666667-141.75|100.33333333333333-121.08333333333333-141.75|101.25-119.16666666666667-140.0
TWN_Group_6	3.9027777777777715|19.638888888888886|18.236111111111114	4	102.5-120.16666666666667-116.83333333333333|103.5-120.66666666666667-119.33333333333333|104.66666666666667-118.66666666666667-116.83333333333333|105.0-118.5-119.66666666666667&105.16666666666667-119.0-119.83333333333333|104.66666666666667-118.83333333333333-117.0|102.33333333333333-120.16666666666667-116.83333333333333|103.33333333333333-120.66666666666667-119.33333333333333&105.5-119.33333333333333-119.83333333333333|104.66666666666667-118.83333333333333-117.16666666666667|102.33333333333333-120.16666666666667-116.83333333333333|103.16666666666667-120.66666666666667-119.33333333333333
TWN_Group_7	3.7708333333333286|19.4375|18.19791666666667	4	102.5-120.16666666666667-116.83333333333333|103.5-120.66666666666667-119.33333333333333|104.66666666666667-118.66666666666667-116.83333333333333|105.0-118.5-119.66666666666667&104.83333333333333-118.33333333333333-119.5|102.33333333333333-120.0-117.0|103.33333333333333-120.83333333333333-119.5|104.5-118.33333333333333-116.83333333333333&104.66666666666667-118.33333333333333-119.5|102.16666666666667-119.83333333333333-116.83333333333333|103.16666666666667-120.66666666666667-119.33333333333333|104.16666666666667-118.0-117.0&105.16666666666667-119.0-119.83333333333333|104.66666666666667-118.83333333333333-117.0|102.33333333333333-120.16666666666667-116.83333333333333|103.33333333333333-120.66666666666667-119.33333333333333
TWN_Group_8	0.5277777777777715|19.0|41.83333333333334	4	101.83333333333333-119.0-140.83333333333334|99.5-119.0-143.33333333333334|100.33333333333333-121.16666666666667-141.66666666666666|100.5-116.66666666666667-141.5&100.33333333333333-121.0-141.66666666666666|100.66666666666667-116.66666666666667-141.66666666666666|99.33333333333333-119.0-143.33333333333334|101.66666666666667-119.0-140.5&100.5-121.33333333333333-141.66666666666666|100.16666666666667-117.0-141.5|99.33333333333333-119.0-143.5|102.16666666666667-119.16666666666667-140.83333333333334
TWN_Group_9	3.892857142857139|19.285714285714292|17.910714285714292	4	102.25-119.5-116.75|103.375-120.5-119.5|105.625-119.625-118.5|104.625-117.75-116.875&103.0-120.5-119.5|102.33333333333333-119.66666666666667-116.66666666666667|105.5-119.0-118.66666666666667|104.33333333333333-117.66666666666667-116.83333333333333
TWN_Group_10	4.09615384615384|19.442307692307693|17.875	4	102.25-119.5-116.75|103.375-120.5-119.5|105.625-119.625-118.5|104.625-117.75-116.875&104.7-118.1-116.7|106.0-119.9-118.3|102.4-119.7-116.9|103.6-120.5-119.4&103.625-120.375-119.5|102.375-119.375-117.0|104.75-117.875-116.875|105.75-120.0-118.25
